from,to,routes
3992,2818,132
4020,3602,123
4040,7136,112
4067,4607,113
4101,2561,115
4104,6377,123
4108,3082,120
4115,3052,115|122
4118,6708,127
4123,4020,123
4152,8645,118
4156,4302,111
4181,1192,125
4190,4977,112
4192,4239,122
4194,8550,116
4198,1521,122
4209,5849,129
4220,4398,120
4224,3453,129
4238,944,115
4239,9010,122
4240,2825,131
4244,1524,115|122
4249,6355,115
4267,5809,118
4269,717,119
4273,5081,116
4275,1860,112
4277,5761,118
4295,8661,120
4302,6672,111
4304,10196,120
4305,9397,123
4320,1851,127
4336,2788,131
4377,3653,113
4382,9791,123
4398,7680,120
4406,2664,132
4458,5318,116
4460,1437,116
4480,7418,122
4481,8496,112
4512,5506,112
4518,7011,126
4522,8688,116
4524,5936,112
4545,8130,121
4553,2909,116
4554,881,123
4555,9588,118
4573,528,131
4583,8036,116
4588,542,123
4603,5492,122
4607,1828,113
4609,7930,129
4613,5199,113
4617,1603,125
4621,10265,127
4642,1471,116
4647,8318,119|118
4659,9425,119
4660,1438,115
4680,2887,124
4702,7395,116
4712,8133,131
4726,9707,123
4758,1188,118
4761,10368,129
4776,8393,122
4808,9567,131
4816,1892,129
4841,2272,113
4857,2639,129
4860,290,125
4863,7398,116
4871,9910,119|118
4873,2643,123
4874,6423,122
4876,5224,120
4882,5699,116
4892,8291,116
4905,9374,115|122
4906,1613,112
4926,7617,119|118
4933,4984,112
4936,3742,112
4937,8075,122
4939,3551,116
4944,1506,132
4945,6919,120
4946,7548,131
4949,8981,124
4952,10161,116
4960,5029,116
4965,7970,116
4977,9558,112
4980,5156,127
4984,10252,112
4986,4761,129
4997,2199,118
5008,8650,120
5009,6695,112
5018,5227,117
5027,4906,112
5029,3679,116
5035,4997,118
5039,4939,116
5040,6268,131
5041,6631,119|118
5043,4621,127
5069,8868,126
5081,6428,116
5082,8259,116
5085,5816,131
5135,2700,131
5156,1822,127
5158,6477,130
5165,9124,117
5199,8705,113
5221,4936,112
5224,5436,120
5227,7358,117
5287,3276,117
5289,8925,112
5290,3845,130
5302,579,131
5317,2898,123
5318,14616,116
5341,2684,113
5343,7008,112|123|111
5357,8411,119|118
5358,9931,130
5369,1537,131
5382,2540,127
5397,5158,130
5403,10180,132
5407,2014,112|111
5421,9455,131
5423,6863,112
5424,772,112
5436,5935,120
5436,7617,120
5452,8454,111
5458,2865,111
5465,9949,116
5472,4808,131
5473,1855,129
5481,7435,123
5485,2358,111
5487,6406,127
5488,3558,113
5492,2330,122
5506,6698,112
5534,8585,111
5545,5069,126
5560,1740,126
5562,5221,112
5587,5715,130
5589,1588,131
5608,9206,115
5609,10097,130|129|131
5617,8384,120
5620,1806,123
5623,3913,120|119|118
5627,3219,112
5641,6418,132
5642,2985,127
5644,1717,117
5647,1738,129
5656,6182,132
5659,1692,116
5675,8812,126
5687,3407,117
5696,729,121
5699,2012,116
5714,3803,117
5715,9268,130
5726,7130,117
5728,1046,116
5730,9584,112
5732,7756,129
5757,1076,116
5761,4758,118
5773,5560,126
5781,5773,126
5799,8405,120
5809,4152,118
5816,5820,131
5820,2757,131
5836,10246,111
5839,9995,127
5843,6673,116
5845,14245,124
5849,15477,129
5867,3850,117
5874,4481,112
5904,14287,131
5915,9925,115
5935,14377,119|118
5935,15289,120
5936,2722,112
5949,6351,123
6005,3272,118
6009,7300,120
6010,3904,111
6011,15392,130
6023,8046,132
6029,6609,117
6062,14326,115|122
6064,7854,123
6066,703,130
6068,2442,129|130
6107,852,124
6121,4857,129
6126,2393,132
6149,1254,116
6150,2933,113
6155,1328,132
6161,14074,119
6182,9028,132
6187,3509,129
6189,4267,118
6223,4603,122
6226,14086,116
6235,6223,122
6236,3623,131
6242,6945,120
6248,1539,129
6249,2137,125
6253,8762,113
6264,4873,123
6268,5135,131
6270,8243,116
6275,2008,116
6295,4304,120
6296,1993,129
6298,7193,121
6340,9776,123
6349,9031,117
6351,1591,123
6353,2776,132
6355,5608,115
6359,2552,116
6364,3106,112
6366,7495,132
6371,9553,116
6377,5317,123
6379,6943,122
6389,2255,115|122
6397,10306,123
6404,4949,124
6405,5009,112
6406,8268,127
6407,2028,127
6410,3086,132
6418,6353,132
6423,7423,122
6425,9141,120
6428,4642,116
6433,5452,111
6450,8168,129
6471,7554,127
6477,5290,130
6492,4156,111
6493,9748,121
6504,9960,122
6508,1547,131
6511,7569,118
6513,9238,113
6551,8636,111
6558,6875,129
6563,1326,130
6576,6407,127
6582,14939,116
6586,5369,131
6590,8790,123
6591,4198,122
6598,8437,131
6602,1006,129
6605,7972,112
6609,2775,117
6631,9369,119|118
6632,6107,124
6635,15267,129
6643,9862,132
6657,5644,117
6670,6126,132
6672,5407,111
6673,719,116
6681,1146,131
6695,8271,112
6698,9728,112
6703,2598,124
6708,5839,127
6720,567,129
