tag,title,lat,lon
1279,Drewry Ave At Fairchild Ave,43.7861,-79.4218299
1281,Eglinton Ave East At Kingston Rd West Side,43.74404,-79.2123
1286,Christie St At Dupont St,43.6717699,-79.4217299
1309,Calvington Dr At Dalraith Rd East Side,43.7319899,-79.49005
1321,Danforth Ave At Sibley Ave,43.6903499,-79.29247
1326,Middlefield Rd At McNicoll Ave,43.8203099,-79.2622299
1328,Opposite 525 Milner Ave,43.79256,-79.2268099
1340,Martin Grove Rd At Eglinton Ave West North Side,43.6748999,-79.56316
1356,York Mills Rd At Bayview Ave West Side,43.7480099,-79.38482
1357,Danforth Rd At Warden Ave,43.6976699,-79.2747799
1421,Roywood Dr At Marbury Cres (East),43.7642299,-79.33386
1437,Kingston Rd At Brinloor Blvd,43.7413299,-79.21451
1438,Davean Dr At Woodsworth Rd West Side,43.76265,-79.3645999
1444,Spadina Rd At Davenport Rd,43.67715,-79.40796
1452,Carlingview Dr At Dixon Rd,43.68704,-79.59577
1458,Sheppard Ave West At Magellan Dr,43.7395599,-79.5098
1471,Guildwood Pkwy At Prince Phillip Blvd,43.7462499,-79.2029799
1475,Morningside Ave At Milner Ave,43.8004299,-79.1993
1501,Clayson Rd At Bartor Rd (South) South Side,43.72059,-79.52436
1506,44 Milner Ave,43.7851099,-79.2536
1509,York Mills Rd At Banbury Rd (East),43.7526399,-79.36527
1521,Lesmill Rd At York Mills Rd North Side,43.7550899,-79.35212
1522,Eringate Dr At Sanctbury Pl,43.6616399,-79.57866
1524,York Mills Rd At Bayview Ave,43.74789,-79.3844799
1537,Nugget Ave At Markham Rd West Side,43.7985199,-79.24179
1539,The Bridle Walk At Major Mackenzie Dr East,43.8994399,-79.3094099
1547,Nugget Ave At McCowan Rd,43.7922999,-79.25885
1571,4325 McCowan Rd (Milliken Park Rec Centre),43.8289599,-79.27511
1573,The East Mall At Yarn Rd,43.6322799,-79.55347
1577,Davenport Rd At Ossington Ave East Side,43.67466,-79.43042
1582,Davenport Rd At Caledonia Park Rd East Side,43.6711099,-79.45052
1588,Nugget At Dovedale Crt,43.79676,-79.2475499
1591,The East Mall At The Queensway,43.6162,-79.54603
1603,Drewry Ave At Hilda Ave,43.78555,-79.4242299
1607,Opposite 1275 Morningside Ave,43.8034399,-79.2002499
1608,Calvington Dr At Exbury Rd,43.7309999,-79.4952
1613,115 Skyway Ave,43.68384,-79.58302
1645,Kennedy Rd At Danforth Rd North Side,43.71559,-79.26097
1674,Opposite 100 Clayson Rd,43.7230399,-79.5252799
1688,44 Longbourne Dr,43.6801299,-79.56879
1689,Ellesmere Rd At Calverley Trail,43.7894799,-79.17655
1692,Morningside Ave At Fordover Dr,43.7546399,-79.1803199
1697,York Mills Rd At Upper Highland Cres,43.74554,-79.3962899
1699,Christie St At Davenport Rd,43.67575,-79.42326
1701,Morningside Ave At Casebridge Crt,43.80875,-79.2025
1708,Underpass Gate At Fenelon Dr East Side,43.76204,-79.3374399
1717,Alness St At Flint Rd,43.78175,-79.47761
1721,Littles Rd At Old Finch Ave,43.8209199,-79.2061099
1734,75 The East Mall,43.6187799,-79.548
1738,McCowan Rd At Gillingham Ave,43.83529,-79.27647
1740,Christie St At Tyrrel Ave,43.6781099,-79.42408
1748,Giltspur Dr At Jane St,43.73481,-79.5109899
1763,Morningside Ave At Sewells Rd North Side,43.81661,-79.21141
1765,Davenport Rd At Christie St West Side,43.67551,-79.4235599
1767,York Mills Rd At Hedgewood Rd East Side,43.7448899,-79.39873
1780,519 Kennedy Rd,43.7195599,-79.2624099
1805,Yonge St At Bishop Ave North Side (Finch Station),43.7818799,-79.41593
1806,50 Shorncliffe Rd,43.6289099,-79.5433799
1812,615 The East Mall,43.6570199,-79.56675
1814,Brenyon Way At Pioneer Pathway,43.8062299,-79.2134999
1815,Bannatyne Dr At Riderwood Dr,43.7580099,-79.36435
1817,Dundas St West At Shorncliffe Rd,43.63191,-79.5448599
1822,Davenport Rd At Wychwood Park West Side,43.6765799,-79.41951
1825,Willowridge Rd At Earldown Dr South Side,43.67617,-79.57013
1828,Opposite 519 Kennedy Rd (Cemetery),43.7194299,-79.2625799
