tag,title,lat,lon,merged
10821,Charles Park Rd @ VFW Pkwy,42.276879949999994,-71.17253995,10821|10830
10832,Dedham Mall @ Old Navy,42.2538699,-71.16863,10832_1|10832
10833,Dedham Mall @ Stop & Shop,42.2578899,-71.16794,10833_1|10833_ar|10833
1085,Chestnut Hill Ave @ Academy Hill Rd,42.34709,-71.1537499,1085
109,Massachusetts Ave @ Bow St,42.37224995,-71.11528494999999,109|2167
1092,Chestnut Hill Ave @ Beacon St,42.3362199,-71.1512399,1092
10923,Cummins Hwy @ Wood Ave,42.27422995,-71.10911995000001,76459|10923
1093,Faneuil St @ Brackett St,42.3519749,-71.16511994999999,1212|1093
1094,Faneuil St @ Fairbanks St,42.35241495,-71.16304,1094|1211
1095,Faneuil St @ Oakland St,42.35263495,-71.16083995,1210|1095
1096,Faneuil St opp Bothwell Rd,42.3530299,-71.15954,1096
1097,Faneuil St @ S Hobart St,42.353929949999994,-71.158335,1097|12081
1098,Hobart St @ Falkland St,42.35480495,-71.15853494999999,1098|1208
11,Melnea Cass Blvd @ Kerr Way,42.3347599,-71.0844599,11
110,Massachusetts Ave @ Holyoke St,42.3732599,-71.11812,110_ar|110
1100,Hobart St @ Brooks St,42.35548489999999,-71.16240495,1206|1100
1102,N Beacon St @ Parsons St,42.35847995,-71.15798495,1102|1204
1103,N Beacon St @ Goodenough St,42.35758,-71.1540199,1103
1104,N Beacon St opp Vineland St,42.3570949,-71.15279995,1104|1202
1105,N Beacon @ Market St,42.356039949999996,-71.14874995,1200|1105
1107,N Beacon St @ Etna St,42.355450000000005,-71.14638500000001,1199|1107
11070,Life St @ Guest St,42.357019949999994,-71.145625,11972|11070
11071,Arthur St @ Guest St - Stop & Shop,42.356309949999996,-71.141555,11071|11971
1109,N Beacon St @ Saunders St,42.354240000000004,-71.141625,1109|1197
111,Mt Vernon St @ South Point Dr,42.317125000000004,-71.04023000000001,111|142
1110,N Beacon St @ Cambridge St,42.353587425,-71.138104975,1196|1110|966
1111,Cambridge St opp Hano St,42.35393,-71.1363599,1111
11111,UMass Boston Busway,42.3119699,-71.03892,11111|11111_ar
1112,Cambridge St @ Harvard Ave,42.35539995,-71.133025,1193|1112
1113,Cambridge St @ Linden St,42.35594,-71.13145,1113
11131,Centre St @ Roseway St,42.3189899,-71.11193,11131
1114,Cambridge St @ N Harvard St,42.35776,-71.1265,1114
11148,Malcolm X Blvd @ Madison Park HS,42.33115495,-71.09073495000001,1259|11148
11149,Malcolm X Blvd @ O'Bryant HS,42.3307299,-71.08842,11149
1115,Cambridge St @ Seattle St,42.35877495,-71.12390995000001,1190|1115
11158,Harrison Ave @ E Brookline St,42.3383899,-71.07092,11158
1116,Cambridge St @ Mass Pike Exit,42.3607249,-71.1186,1189|1116
11164,Centre St @ Burroughs St,42.3114699,-71.1145,11164
1117,Putnam Ave @ Allston St,42.36171,-71.1135299,1117
1118,Magazine St @ Putnam Ave,42.359120000000004,-71.11092500000001,1118|putmag
