type,lat,lon,name
shopping,33.8325164,-118.3097949,Eastgate Plaza Shopping Center
shopping,33.9014037,-118.1172898,Rosewood Center Shopping Center
shopping,33.9186111,-118.0094444,Home Depot Shopping Center
shopping,33.8625153,-118.0942327,Los Cerritos Shopping Center
shopping,33.9133476,-118.0842333,Norwalk Shopping Center
shopping,33.9186252,-118.0745108,Paddison Square Shopping Center
shopping,33.9400134,-118.044788,Santa Fe Springs Plaza Shopping Center
shopping,34.0777877,-118.115903,Alhambra Valley Shopping Center
shopping,34.0702873,-118.0225666,El Monte Shopping Center
shopping,34.0783433,-118.1350704,Crawfords Corner Shopping Center
shopping,34.0619542,-118.019233,Five Points Plaza Shopping Center
shopping,34.1486187,-118.2470191,Glendale Fashion Center Shopping Center
shopping,34.1511178,-118.0697906,Hastings Ranch Plaza Shopping Center
shopping,33.9866807,-118.1861824,Maywood Village Square Shopping Center
shopping,34.1394512,-118.006455,Monrovia Shopping Center
shopping,34.0191789,-118.1067357,Montebello Mart Shopping Center
shopping,34.031123,-118.1228474,Montebello Plaza Shopping Center
shopping,34.035567,-118.0842351,Montebello Town Center Shopping Center
shopping,34.0333448,-118.0953465,Montebello Town Square Shopping Center
shopping,34.1388958,-117.9831208,Mountain Vista Plaza Shopping Center
shopping,34.1680619,-118.1328485,North Lake Square Shopping Center
shopping,33.9883477,-118.224517,Pacific Center Shopping Center
shopping,34.0741764,-118.0706237,Rosemead Square Shopping Center
shopping,34.0019571,-118.0872906,Pico Rivera Plaza Shopping Center
shopping,34.2016717,-118.1925732,Plaza De La Canada Shopping Center
shopping,34.0630662,-118.1336813,Landmark Shopping Center
shopping,34.0577887,-118.1334035,Monterey Park Mall Shopping Center
shopping,34.1347294,-118.0514566,Santa Anita Fashion Park Shopping Center
shopping,34.2602803,-118.3148005,Sunland Mall Shopping Center
shopping,34.2230597,-118.2361861,The Marketplace Shopping Center
shopping,33.9811237,-118.0378442,Village Square Shopping Center
shopping,33.9819572,-118.0514558,Whittier Station Shopping Center
shopping,33.9986236,-118.0564563,Model Plaza Shopping Center
shopping,34.1408402,-118.0197888,Arcadia Specialty Center Shopping Center
shopping,33.9772364,-118.1875712,Bell Palm Plaza Shopping Center
shopping,34.1325074,-118.0661793,El Rancho Santa Anita Shopping Center
shopping,33.9733464,-118.073123,Santa Fe Springs Market Place Shopping Center
shopping,34.0380674,-118.144237,Atlantic Square Shopping Center
shopping,34.0997316,-118.2928534,Barnsdall Square Shopping Center
shopping,34.0550112,-118.3086868,Koreatown Plaza Shopping Center
shopping,34.0255684,-118.2847969,University Village Shopping Center
shopping,34.0425117,-118.3100756,Western Plaza Shopping Center
shopping,34.062233,-118.313687,Wilshire Gramercy Plaza Shopping Center
shopping,34.145285,-118.1434043,Plaza Pasadena Shopping Center
shopping,34.0622325,-118.0917354,Garvey Square Shopping Center
shopping,34.1622288,-118.3142438,Rancho Marketplace Shopping Center
shopping,34.0816762,-118.0764573,Universal Square Shopping Center
shopping,34.0116792,-118.1084025,Crawfords Shopping Center
shopping,34.1547222,-118.2444444,Glendale Plaza Shopping Center
shopping,34.1472222,-118.0888889,El Nido Plaza Shopping Center
shopping,34.0414014,-118.2497961,Los Angeles Flower Mart
