from,to,routes,length,road_length,travel_time
10084,10085,378|78,0.28169492026157056,0.2863,0.333333333333
10085,10084,78,0.28169492026157056,0.7482000000000001,0.5
10085,10086,378|78,0.30305980488188317,0.31060000000000004,0.25
10086,10081,378|78,0.3274748232299621,0.33089999999999997,0.5
10086,10085,78,0.30305980488188317,0.32689999999999997,0.0
10087,11812,292,0.3374407078629569,0.3769,1.66666666667
10088,10089,78|176,0.28112079271624923,0.9587000000000001,0.5
10088,1547,78|176,0.2525267172885605,0.33130000000000004,0.666666666667
10089,10088,78|176,0.28112079271624923,0.2838,0.333333333333
10089,10093,78|176,0.21681993008058084,0.21681993008058084,1.0
1009,1382,267,0.31261289388360713,0.31261289388360713,1.0
10090,10088,78|176,0.13861278183645995,0.38289999999999996,0.0
10091,16077,78,0.19045586368925801,0.19045586368925801,1.0
10092,10061,256,0.4665773701567158,0.5367000000000001,0.5
10092,10099,256,0.29645895574264247,0.30069999999999997,0.5
10093,10091,78,0.1491536722042248,0.14880000000000002,1.0
10094,10090,78|176,0.3259508328387363,0.32680000000000003,1.0
10094,10095,78|176,0.20399061561762963,0.2074,0.166666666667
10095,10094,78|176,0.20399061561762963,0.32010000000000005,0.166666666667
10095,12283,78|176,0.3963277070540184,0.6912999999999999,1.0
10096,1553,115,0.3830624760705472,1.1801,1.0
10096,260,51|52,0.40133688016310315,0.791,1.125
10096,261,51|52,0.21881818177455759,1.0041,0.5
10096,5502,115,0.41517447686394215,0.4188,1.75
10097,10096,115,0.43743828738333895,0.4383,1.75
10098,13277,115,0.42100596551920305,0.45289999999999997,1.75
10099,10092,256,0.29645895574264247,0.30069999999999997,0.0
10099,3451,256,0.4560226788302075,0.4605,1.0
101,103,111,0.3366937593918073,0.33680000000000004,0.333333333333
101,8702,111,0.3870987928246686,0.3870987928246686,1.0
1010,1009,267,0.5034755910291884,0.5035000000000001,1.0
1010,1011,267,0.2680019896222906,0.4108,0.5
10100,10103,115|212,0.19367059017084165,0.2,0.325
10102,16118,115,0.4141768226214811,0.4141768226214811,1.33333333333
10103,1562,115|212|312,0.23935369850124183,0.2393,1.0
10103,1564,115|212|312,0.3056878209040043,0.3095,0.9
10105,708,256,0.49913643895319043,0.7126,2.75
10106,10108,256,0.40358786720493317,0.4786,1.0
