tag,title,lat,lon
162,Atlantic / Patata,33.95584,-118.18388
163,Atlantic / Abbott,33.9337099,-118.1825799
164,Atlantic / Agnes,33.91419,-118.1901699
165,Atlantic / Arlington,33.9067,-118.1932799
166,Atlantic / Beechwood,33.9256999,-118.18573
167,Atlantic / Carlin,33.91017,-118.1918299
168,Atlantic / Cecelia,33.95826,-118.18469
169,Atlantic / Clara,33.96588,-118.18684
170,Atlantic / Cortland,33.9190199,-118.18817
172,Atlantic / Artesia,33.87466,-118.18596
173,Atlantic / Elizabeth,33.9635,-118.18624
175,Atlantic / Fernwood,33.9164499,-118.18923
176,Rayo / Southern,33.9465699,-118.17977
177,Atlantic / Firestone,33.9514999,-118.18281
178,Atlantic / Florence,33.97006,-118.1878499
179,Atlantic / Gage,33.97827,-118.1867599
180,Atlantic / Imperial,33.93096,-118.1832599
181,Atlantic / Live Oak,33.9682599,-118.1874299
182,Atlantic / Michigan,33.9390799,-118.18196
183,Atlantic / Randolph,33.9811899,-118.18631
184,Atlantic / Santa Ana,33.9611599,-118.1856499
185,Atlantic / Southern,33.94651,-118.18093
186,Atlantic / Southern Pl,33.94881,-118.1818
187,Atlantic / Tenaya,33.93642,-118.1822599
188,Atlantic / Tweedy,33.9414,-118.1813499
189,Atlantic / Tweedy,33.94103,-118.1817199
190,Atlantic / 52nd,33.99244,-118.1836699
191,Atlantic / 55th,33.99083,-118.1848299
192,Atlantic / 6th,34.02513,-118.1556799
193,Atlantic / Bandini,33.99825,-118.1747999
194,Atlantic / Slauson,33.9874099,-118.18537
195,Telegraph / Atlantic,34.00895,-118.15748
196,Van Nuys / Laurel Canyon,34.25915,-118.4314099
198,Van Nuys / Burbank,34.17186,-118.4488999
199,Van Nuys / Victory,34.1864,-118.44881
200,Van Nuys / Vanowen,34.1936599,-118.4488199
201,Avalon / 169th,33.8789799,-118.26478
202,Del Amo / Tajauta,33.84667,-118.24337
203,Avalon / 228th,33.81911,-118.2635399
204,Avalon / Albertoni,33.8717199,-118.26597
205,Avalon / Bayport,33.8150099,-118.26371
206,Avalon / Carson Mall,33.8434899,-118.2630199
207,Van Nuys / Keswick,34.2099799,-118.4489199
208,Olympic / Mirasol,34.0186899,-118.19966
209,7th / Butte,33.7379999,-118.3063
210,Van Nuys / Woodman,34.2469799,-118.44852
212,Avalon / Idabell,33.8107899,-118.26387
213,Avalon / Martin Luther King Jr,34.0108699,-118.2653999
214,Van Nuys / Laurel Canyon,34.2586899,-118.43248
215,Avalon / Vernon,34.0040899,-118.26538
216,Avalon / Harry Bridges,33.77157,-118.26163
217,Barham / Lake Hollywood Dr,34.13218,-118.3442299
218,Hollywood Way / Oak,34.1574999,-118.3417699
219,San Pedro / 81st,33.96541,-118.26939
220,Hollywood Way / Burbank,34.1748599,-118.34916
221,Sherman Way / Laurel Canyon,34.2007599,-118.39678
222,Compton / Avalon,33.8953199,-118.2650299
223,17700 Avalon,33.8691599,-118.26598
224,Avalon / 189th,33.8591799,-118.2659599
225,Del Amo / Tillman,33.84666,-118.2531299
226,Del Amo / Tillman,33.8468699,-118.25381
228,Avalon / 103rd,33.94349,-118.26531
229,Avalon / 104th,33.9417,-118.26531
230,Avalon / 106th,33.94029,-118.26531
231,Avalon / 108th,33.93803,-118.26531
232,Avalon / 110th,33.93548,-118.26531
233,Avalon / Lanzit,33.93253,-118.26531
234,Sherman Way / Albertsons,34.20133,-118.45319
236,Avalon / 120th,33.9238599,-118.26535
237,Avalon / 126th,33.91865,-118.2653799
238,Avalon / 130th,33.91474,-118.26539
239,Avalon / 132nd,33.9129299,-118.26541
240,Avalon / 135th,33.90931,-118.26541
241,Avalon / 138th,33.90656,-118.2654299
242,Avalon / 186th,33.8621199,-118.26597
243,Del Amo / Central,33.84667,-118.2481899
244,Del Amo / Central,33.8469199,-118.24885
245,Avalon / 213th,33.8356499,-118.26353
246,Avalon / 220th,33.8277199,-118.26351
247,Avalon / 223rd,33.8244899,-118.26352
248,Avalon / 41st,34.0093299,-118.2653999
249,Avalon / 42nd,34.00675,-118.26539
250,Avalon / 48th,33.9999199,-118.2653599
251,Avalon / 51st,33.9967199,-118.2653499
252,Avalon / 54th,33.99352,-118.26534
253,Avalon / 56th,33.99172,-118.26534
254,Avalon / 59th,33.98625,-118.26535
255,Avalon / 61st,33.98406,-118.26533
256,Avalon / 67th,33.97897,-118.26532
