city,routes_count,stops_count,connections_count,total_length,connection_length_average,total_travel_time,connection_travel_time_average,connection_speed_average,wait_time_average,wait_time_std,average_trip_time_uniform,average_trip_length_uniform,average_transfers_uniform,average_straight_distance_uniform,average_trip_length_normalized_uniform,average_time_normalized_uniform,average_transfers_normalized_uniform,average_trip_time_population,average_trip_length_population,average_transfers_population,average_straight_distance_population,average_trip_length_normalized_population,average_time_normalized_population,average_transfers_normalized_population,uniform_coverage_stops,uniform_coverage_distance,population_coverage_stops,population_coverage_distance
sf,54,1926,3481,853.4771081177569,0.24518158808323956,3235.0897789661153,0.9293564432536958,15.829120669235614,8.75641869028,4.62591304766,76.42337001981215,17.461498402331348,2.8524,7.048833240237739,2.4772182582861637,10.841988654740057,0.40466271548563343,66.70536195569785,12.981106909857148,2.8194,5.083979850501008,2.55333563302339,13.120697547438997,0.5545655338744425,5.629,0.24329294099770726,9.0481,0.13243069980686248
boston,71,4721,4185,1063.7877473370886,0.2541906206301287,2299.6621569192157,0.5495011127644482,27.75506160684606,21.4954311517,8.98643320626,168.0743782128777,34.62276599386228,3.7291,15.932762742440408,2.173054764798383,10.548978914069606,0.23405231473551816,123.59075383052954,21.429848677761182,3.0748,7.128929305139438,3.006040284662639,17.336509949878394,0.43131301607708383,2.382,0.33538163311668456,4.6168,0.21862849704295423
toronto,144,5806,9594,2843.7569479756226,0.29640993829222667,7128.921961302474,0.7430604504171852,23.934252304167966,8.78535731946,4.74824429359,101.75083339673206,38.50370905273175,4.3641,16.105141401413242,2.390771250810192,6.317909968043082,0.2709755779987778,96.48979034781486,31.81530273793225,4.3279,12.909572929074441,2.4644736826482503,7.474282137599167,0.33524734116129207,3.1053,0.25934240817931514,3.9123,0.20834261200353735
la,108,8431,12240,4838.477467833992,0.39530044671846337,13284.57351372811,1.0853409733437998,21.853064968178185,19.1787505753,7.24494078465,221.60460963310712,64.83437293861422,5.1864,27.145750180319673,2.3883802255580444,8.163510242342378,0.19105753075706394,138.571122394436,40.06272976218319,2.7985,12.770485419681785,3.137134450695099,10.850889205892763,0.21913810697336306,1.9848,0.3320798484490126,2.1669,0.2996643509492882
