city,routes_count,stops_count,connections_count,total_length,connection_length_average,total_travel_time,connection_travel_time_average,connection_speed_average,wait_time_average,wait_time_std,average_trip_time_uniform,average_trip_length_uniform,average_transfers_uniform,average_straight_distance_uniform,average_trip_length_normalized_uniform,average_time_normalized_uniform,average_transfers_normalized_uniform,average_trip_time_population,average_trip_length_population,average_transfers_population,average_straight_distance_population,average_trip_length_normalized_population,average_time_normalized_population,average_transfers_normalized_population,uniform_coverage_stops,uniform_coverage_distance,population_coverage_stops,population_coverage_distance
toronto,144,5806,9594,2843.7569479756226,0.29640993829222667,7128.921961302474,0.7430604504171852,23.934252304167966,8.78535731946,4.74824429359,102.14704935021052,39.09485374770768,4.33,16.25556611514255,2.405013364086388,6.283819869863374,0.26637029859984235,91.04050002511696,29.82967217040796,4.27,11.96511988281734,2.4930525111783655,7.608824726934563,0.3568706408142209,3.59,0.23730054635886053,3.89,0.19031595901464193
sf,54,1926,3481,853.4771081177569,0.24518158808323956,3235.0897789661153,0.9293564432536958,15.829120669235614,8.75641869028,4.62591304766,75.32018295582395,16.78568253621863,3.07,6.662678608400893,2.519359483294566,11.304790067594379,0.46077564001497434,67.85782925461577,13.350616357897982,2.78,5.047786351132267,2.6448457658877165,13.443086639234366,0.5507364628014455,5.39,0.2493078995413879,10.01,0.12845942112233816
la,108,8431,12240,4838.477467833992,0.39530044671846337,13284.57351372811,1.0853409733437998,21.853064968178185,19.1787505753,7.24494078465,216.87752308306526,62.25322717839046,5.06,26.25694820403029,2.3709239434320453,8.259814560238032,0.19271089544303244,138.70733372994297,42.841490801266126,2.67,14.145947272604149,3.0285346025737994,9.805446822113606,0.18874663877553643,2.18,0.2976928151597663,2.31,0.31686737314166435
boston,71,4721,4185,1063.7877473370886,0.2541906206301287,2299.6621569192157,0.5495011127644482,27.75506160684606,21.4954311517,8.98643320626,164.6796033379218,35.74056619485931,3.66,16.715229083789918,2.1382037910278937,9.852069780941541,0.21896200055968076,128.0037125773962,21.978017286601883,3.25,7.460692954182639,2.94584128063875,17.157080898984635,0.435616372360958,2.6,0.32562464746663977,4.68,0.20408397934427464
