from,to,routes,length,road_length,travel_time
3188,5253,36|44|43,0.22661629979807205,0.22940000000000002,0.444444444444
3191,6999,19,0.20507834400629174,0.2052,0.8
3192,3194,19,0.1774057962878006,0.17980000000000002,0.0
3192,4660,12,0.3067605262138178,0.3067605262138178,1.25
3193,3192,19,0.177772805929911,0.6918,1.0
3193,3206,12|47|27,0.2753680391149792,0.8602000000000001,1.0
3194,3195,19,0.2065478802881416,0.22740000000000002,1.0
3195,3196,19,0.18915857399521255,0.2082,1.0
3195,5537,14,0.2980716517959493,0.29810000000000003,1.2
3196,3209,19|21,0.28473107638873546,1.352,1.5
3196,5647,9|9R|L_OWL|F|21|N_OWL|T_OWL|K_OWL|M_OWL|6,0.27575169084450424,0.5616,1.3
3196,5676,9|9R|L_OWL|F|N_OWL|T_OWL|7|K_OWL|M_OWL|6,0.2215013522064112,0.505,1.05
3197,3191,19,0.20601311131147398,0.20601311131147398,0.2
3197,4437,10,0.2596978147314052,0.39330000000000004,1.0
3197,6698,10,0.2822011090248674,0.2893,0.8
3201,4732,5R|5,0.17835948488385836,0.19640000000000002,1.0
3201,4736,5R|5,0.2221279739824384,0.2339,0.75
3201,4772,44,0.4284534248718411,2.3521,2.2
3201,7538,44,0.21505032460862916,0.2914,1.0
3203,3210,19,0.22620587607527692,0.22669999999999998,0.8
3204,3203,19,0.1445590394514855,0.1535,1.0
3204,3726,47|27,0.3155574912788609,0.3155574912788609,1.2
3205,3192,12,0.2650414812246071,0.781,1.0
3205,3206,19,0.1847706633971512,0.1847706633971512,1.0
3206,3204,19,0.18386101497951618,0.9410000000000001,0.2
3206,4973,12|47|27,0.2228791354230665,0.9848,1.0
3208,3243,14R,0.4739008706627407,0.8867999999999999,2.2
3208,5543,14,0.2197931117687992,0.21930000000000002,2.0
3208,7677,19,0.1920577783236112,0.226,1.0
3209,3196,9|9R|L_OWL|F|21|N_OWL|T_OWL|K_OWL|M_OWL|6,0.28473107638873546,0.9156000000000001,1.3875
3209,3208,19,0.19348639779925786,0.226,1.0
3209,3611,N|M|KT|J|L,0.8536268368759434,3.6250999999999998,1.64
3209,4848,19,0.16468164405961555,0.7502000000000001,2.0
3209,4997,21,0.21007296080286064,1.1158,1.0
3209,5419,N|M|KT|J|L,0.5524141787153051,1.4510999999999998,0.71
3209,5649,7,0.19299781892031562,0.19299781892031562,1.0
3210,4437,19,0.07807127433896376,0.1222,0.2
3211,3214,N|N_OWL|44,0.2255499247603423,0.22680000000000003,1.5
3211,3220,44,0.19169279707825676,0.20600000000000002,1.6
3211,5121,N|N_OWL,0.18403407256236556,0.18403407256236556,1.25
3214,3211,N|N_OWL|44,0.2255499247603423,0.22680000000000003,1.4
3214,3216,44|66|6|43,0.1958584918337837,0.1985,1.0
3214,5191,6|43,0.172369387252655,0.18359999999999999,0.6
3214,5195,N|N_OWL,0.2841726146411902,0.6862,1.0
3216,3214,44|6|43,0.1958584918337837,0.1985,1.0
3216,3218,44|66|6|43,0.2065730711673032,0.3966,0.573333333333
3218,3214,66,0.40240966326641875,0.4026,2.33333333333
3218,3216,44|6|43,0.2065730711673032,0.2079,0.466666666667
3218,3222,6,0.20882338563107822,0.2119,0.2
3218,4852,44|43,0.17318488657765488,0.17450000000000002,0.5
3218,4856,66,0.1832485091494004,0.1857,0.5
3220,3211,44,0.19169279707825676,0.20600000000000002,1.2
3220,4771,44,0.5131094554070076,0.6756000000000001,2.2
3220,5299,7,0.21251929179731482,0.22180000000000002,1.0
3220,5302,7|7X,0.20896748714214058,0.763,0.3
3222,3218,6,0.20882338563107822,0.2119,0.0
3222,3224,6,0.2093251825310728,0.3916,0.6
3224,3222,6,0.2093251825310728,0.2121,0.5
3224,3226,6,0.2062510834996732,0.2171,0.3
3226,3224,6,0.2062510834996732,0.39189999999999997,0.4
3226,3230,6,0.0758466888590985,0.07590000000000001,0.2
3229,3674,25,0.19908361993441387,0.38489999999999996,1.0
3229,37558,25,0.3853406805549568,0.3857,1.0
3230,3226,6,0.0758466888590985,0.07590000000000001,0.1
3230,3231,6,0.2251395332503877,0.2376,0.3
3231,3230,6,0.2251395332503877,0.2376,0.4
3231,3233,6,0.17099874627381878,0.171,0.4
3233,3231,6,0.17099874627381878,0.171,0.0
3233,6168,6,0.11861403312009396,0.13419999999999999,0.2
3235,3238,90|9,0.13971699756930733,0.1414,1.0
3238,3240,90|9|47,0.41294023906144883,0.6306,1.6
3238,3754,47,0.20988057523192397,0.2364,1.8
3238,4436,90|9|27,0.2227929836060582,0.2292,1.8
3238,4664,12,0.19328224141695427,0.1956,1.0
3240,3243,90|47,0.14928896185310148,0.14928896185310148,1.0
3240,3244,9,0.34054390618639563,0.34054390618639563,1.6
3241,3238,90|9|47,0.3517414290686611,0.3539,1.1
3243,3241,90|9|47,0.20956539641750394,0.2097,0.8
3243,3291,14R,1.0358397839793552,1.2887000000000002,4.8
3243,5541,14R,0.5452873108873686,0.5552,3.0
3243,5542,14,0.34887456376325143,0.3587,2.25
3243,5836,14,0.24063484143900948,0.263,1.4
3243,6473,90|47,0.17423313832236206,0.6079,1.2
3244,3243,9,0.19199218663929443,0.192,1.0
3244,37669,9R|9,0.2954533429307856,0.9863,1.4
3247,6170,6,0.10646932656346783,0.10646932656346783,0.0
3248,3249,48,0.19728493824529253,0.1976,0.08906749091195867
3248,3306,48,0.283556735905554,0.31210000000000004,0.12801629573409784
3249,3248,48,0.19728493824529253,0.1976,0.08906749091195867
3249,3251,48,0.1915455209420864,0.19419999999999998,0.08647633771476092
3251,3249,48,0.1915455209420864,0.19419999999999998,0.08647633771476092
3251,6736,48,0.129957631672548,0.1459,0.05867148440669437
3253,3256,37,0.12767757410699856,0.1275,0.5
3253,3820,37,0.1014103394733614,0.1635,0.5
3254,3260,37,0.18851813454723215,0.1896,1.5
3254,3283,J|22,0.35586366439612727,0.3738,1.9
3254,3311,KT|L|M,0.7801694836454246,0.8139,1.53333333333
3254,4005,J|N_OWL|22,0.19088849869842822,0.5751000000000001,1.4
3254,5419,KT|L|M,1.1910458523586067,1.2027,1.35
3254,5653,37,0.29836184643218394,0.4078,1.0
3254,5668,L_OWL|F|N_OWL|K_OWL|M_OWL,0.2144561014102729,0.22319999999999998,1.0
3254,5690,L_OWL|K_OWL|M_OWL|F,0.2241211476724936,0.2401,0.8
3256,3253,37,0.12767757410699856,0.12767757410699856,0.0
3256,3258,37,0.2076592319587947,0.20750000000000002,0.0
3256,4309,24,0.18741688205389687,0.19130000000000003,0.2
3256,4330,24,0.18643755853111613,0.32589999999999997,0.0
3258,3256,37,0.2076592319587947,0.20750000000000002,0.5
3258,3260,37,0.19626112778089616,0.19640000000000002,0.5
3260,3254,37,0.18851813454723215,0.1896,2.0
3260,3258,37,0.19626112778089616,0.19640000000000002,0.0
3262,3263,66,0.1592926049646081,0.15930000000000002,0.0
3263,3264,66,0.2080813132016254,0.2081,0.25
3264,3265,66,0.2115513452586801,0.2124,0.75
3265,6139,66,0.18775160565389168,0.2062,1.0
3266,3394,L_OWL|L,0.37585258803365534,0.4058,1.75
3266,6736,L_OWL|L,0.29802526402595253,0.4207,1.2
3270,5141,57,0.2557270046438564,1.2006,0.5
3270,6896,57,0.20604769708661227,0.21480000000000002,1.0
3272,3275,66,0.12326933821123645,0.1241,1.0
3272,4860,66,0.16276194146307174,0.251,0.5
3273,3272,66,0.137332819736432,0.7022,0.0
3275,3276,66,0.07213951568156093,0.076,0.0
3276,3272,66,0.19304217476761032,0.3642,0.0
3276,5739,66,0.12759000943119705,0.13130000000000003,0.0
3278,3276,66,0.23438387220828302,0.23750000000000002,1.0
3279,3278,66,0.20596529979818048,0.20600000000000002,0.0
3280,3279,66,0.2071611203635617,0.2073,1.0
3281,3288,22|55|33,0.2438680363975339,0.2447,0.933333333333
3281,3295,22|55|33,0.24411116584508064,0.24411116584508064,1.66666666667
3281,3732,27,0.1621881767387628,0.1771,0.8
3281,3752,27,0.3204355595767601,0.32730000000000004,1.0
3283,3254,J|22,0.35586366439612727,0.7524,2.3
3283,3284,22,0.1957644278582699,0.1958,1.0
3283,3322,J,0.3585051103582954,0.38630000000000003,1.8
3284,3283,22,0.1957644278582699,0.1958,1.0
3284,3286,22,0.19915528697077586,0.1992,1.2
3286,3284,22,0.19915528697077586,0.1992,1.0
3286,3300,22,0.1943808886769388,0.1945,1.0
3288,3281,22|55|33,0.2438680363975339,0.2447,0.8625
3288,4668,22|55|33,0.1931460117696742,0.2059,0.733333333333
3291,3243,14R,1.0358397839793552,1.318,5.0
3291,3299,22|55|33,0.3097322433851726,0.3098,1.43333333333
3291,3300,22,0.2060130083098259,0.2061,1.0
3291,3338,14|49|33,0.3610326123347166,0.5476000000000001,2.0
3291,5547,14|49,0.3952414210914378,0.40800000000000003,2.0
3291,5558,14R,0.7690316130329617,1.4177000000000002,2.2
3295,3281,22|55|33,0.24411116584508064,0.2441,1.33333333333
3295,3297,22|55,0.18400738501257657,0.184,0.9
3295,7298,90|9,0.1694177791990709,0.1752,0.8
3295,7910,90|9|33,0.2901505835887461,0.2907,1.0
3297,3317,22,0.20814860688553027,0.30210000000000004,1.2
3297,6189,55,0.2529493070798029,0.26130000000000003,1.0
3299,3288,22|55|33,0.2574845940563542,0.2577,1.16666666667
3300,3286,22,0.1943808886769388,0.1945,1.0
