tag,title,lat,lon,merged
10081,Berry Rd At Bell Manor Dr,43.6372599,-79.4887,10081
10083,Victoria Park Ave At Ivordale Cres (North),43.7557049,-79.31448995,7892|10083
10084,Caledonia Rd At Eglinton Ave West,43.692918675,-79.4621036625,6109|5453|3304|10084
10085,Victoria Park Ave At Winston Ave,43.6835599,-79.28518495,10085|8160
10086,Dixon Rd At Celestine Dr,43.6934049,-79.5625,8796|10086
10087,Airport Rd At Jetliner Rd East Side,43.685955,-79.60633494999999,368|10087
10088,Victoria Park Ave At Parkwoods Village Dr,43.75806683125,-79.31532811875,10088_ar|10088|353|9291|10377
1009,Overlea Blvd At Thorncliffe Park Dr West,43.70498995,-79.34983995,5132|1009
10090,John Garland Blvd At Martin Grove Rd,43.732014925,-79.58956492499999,3472|561|9527|10090
10091,Martin Grove Rd At Dixon Rd,43.69185494999999,-79.57093492499999,10091|4725|4200
10092,Sloane Ave At Wigmore Dr,43.7324,-79.310355,10227|10092
10093,Spadina Ave At Dundas St West South Side,43.65265495,-79.39812495,10093|6046
10094,Opposite 210 Milner Ave,43.7883399,-79.2407,10094
10095,Weston Rd At Parke St South Side,43.70596,-79.53101000000001,7644|10095
10096,Weston Rd At Imogene Ave,43.742760000000004,-79.54032000000001,3251|10096
10097,McCowan Rd At Milner Ave,43.78575995,-79.25662495,10097|9413
10098,Broadview Ave At Withrow Ave,43.66975995,-79.35322495,10098|7801
10099,1125 Leslie St North Side,43.72506,-79.34892,10099
1010,College St At Spadina Ave,43.657649899999996,-79.40023,1010|3323
10100,Browns Line At Horner Ave South Side,43.601497425000005,-79.545184925,4104|10100|7696
10101,Opposite 7303 Warden Ave,43.83018995,-79.32717495,10101|9837
10102,Queen St West At Bathurst St,43.64729494375,-79.40386624375,5399|4514|10102|15051|1068
10103,Lawrence Ave West At Greer Rd,43.723715,-79.4087649,10103|6303
10104,Royalcrest Rd At Cabernet Cir,43.751239999999996,-79.6038849,7380|10104
10105,Caledonia Rd At Keith Ave,43.69068495,-79.46124,1994|10105
10106,Birchmount Rd At Bertrand Ave,43.73527495,-79.27988495,4340|10106
10107,Markham Rd At 14th Ave,43.8564649,-79.2557449,9241|10107
10108,Beechgrove Dr At Bethley Dr South Side,43.76845,-79.15907,10108
10109,Wilson Ave At Dubray Ave,43.72819495,-79.47760495,10109|3913
1011,Middlefield Rd At Walkway To Buckhurst Cres,43.805339950000004,-79.25468000000001,1011|5715
10110,Port Union Rd At Ravine Park Cres North Side,43.7883499,-79.1402599,10110
10111,Martin Grove Rd At Bethridge Rd,43.70774,-79.57826,10111|1417
10113,Steeles Ave East At Jewell St,43.79990495,-79.41160995,7906|10113
10114,Richmond St West At Simcoe St,43.6499899,-79.38699,10114
10115,Lansdowne Ave At Whytock Ave,43.65376995,-79.44108994999999,10115|8707
10117,Steeles Ave West At New Westminster Dr,43.7900199,-79.45732,10117
10119,Gelnorchy Rd At Suncrest Dr,43.725789899999995,-79.36395495,10119|4251
1012,877 Yonge St,43.67411,-79.38825,1012
10120,Islington Ave At Rexdale Blvd North Side,43.71522495,-79.55515995,10120|1428
10122,Cul De Sac (Loop) At Ellesmere Rd,43.7946899,-79.15477,10122|10122_ar
10123,McNicoll Ave At Eagle Point Rd,43.80513495,-79.32635495,10123|1862
10124,Birchmount Rd At Timberbank Blvd,43.7972599,-79.3053,10124
10125,Avenue Rd At Cottingham St,43.67956495,-79.39857495,8973|10125
10127,York Mills Rd At Banbury Rd (East),43.7525,-79.3654499,10127|1509
10128,Victoria Park Ave At Innismore Cres,43.73464995,-79.30673995000001,2717|10128
10129,Dundas St West At Poplar Ave,43.63605995,-79.54008495,7008|10129
1013,Kipling Ave At Evans Ave,43.616042424999996,-79.524734975,1605|1013|1426|4374
10130,Tapscott Rd At McNicoll Ave,43.82606,-79.24328,10130
10131,Yonge St At William Carson Cres,43.747284949999994,-79.40742995,8735|10131
10132,Scarlett Rd At East Dr,43.676845,-79.505985,10132|2182
10133,Sheppard Ave East At Calvin Ave,43.765419949999995,-79.39324995000001,10133|9322
10134,Sloane Ave At Elvaston Dr,43.730180000000004,-79.30972,10134|9411
10135,Mt Pleasant Rd At Moore Ave,43.693559949999994,-79.38460995,2949|10135
10136,Vaughan Rd At Arlington Ave East Side,43.688815000000005,-79.43147995,2738|10136
10137,Rogers Rd At Bicknell Ave,43.6820199,-79.47362,10137
10138,Spadina Ave At King St West,43.64589995,-79.39525499999999,5275|10138
10140,Dupont St At Davenport Rd,43.67579495,-79.40252995,10140|9689
10141,Kipling Ave At Snaresbrook Dr,43.72174995,-79.57149995,4996|10141
10142,Eglinton Ave East At Mason Rd,43.7415999,-79.22549,10142
10143,Sutherland Dr At Millwood Rd,43.7032799,-79.364465,10143|3410
10144,Willowdale Ave At Sheppard Ave East North Side,43.764233675,-79.3998136875,10144|7583|2486|2500
10145,Eglinton Ave East At Victoria Park Ave East Side,43.72457,-79.30209,10145
10146,Hotspur Rd At Bathurst St West Side,43.7331299,-79.43357,10146
10147,Warden Ave At Ellington Dr,43.75703,-79.29932,10147
10148,Warden Ave At Hymus Rd,43.71960995,-79.28419,3731|10148
10149,Pharmacy Ave At Holswade Rd South Side,43.7193299,-79.2949499,10149|1530
1015,Meadowvale Rd At Generation Blvd,43.804224950000005,-79.16875995000001,1015|4306
10150,Pape Ave At Cosburn Ave,43.6893911875,-79.348743675,9899|10150|1874|9250
10151,Grantbrook St At Drewry Ave South Side,43.78326375,-79.4336374625,4757|8026|290|10151
10152,Pharmacy Ave At Corinthian Blvd (South) South Side,43.789269899999994,-79.3234649,10152|4608
10153,Varsity Rd At Bralorne Cres,43.6612899,-79.4981899,10153
10154,Lawson Rd At Brumwell St,43.78824995,-79.14729995,10154|7305
10155,Railside Rd At Codeco Crt West Side,43.7359199,-79.32711,10155|739
10157,Eglinton Ave East At Brentcliffe Rd,43.714479925,-79.359939975,10157|3783|7496
10158,Rockcliffe Blvd At Corbett Ave,43.671789950000004,-79.48714495,10158|7381
10159,Yonge St At Connaught Ave,43.78946,-79.41808,10159
1016,Carlton St At Church St,43.6619999,-79.37911,1016
10160,Confederation Pkwy At Rutherford Rd,43.8405899,-79.4922699,10160
10161,Nightstar Rd At Cranberry Dr,43.825579950000005,-79.22444995000001,10161_IB|10161
10162,Pharmacy Ave At Pachino Blvd South Side,43.7630299,-79.3118699,10162|9626
10163,Marlee Ave At Elway Crt,43.7123299,-79.4450499,10163
10164,Finch Ave West At Milady Rd,43.747325000000004,-79.56434490000001,2300|10164
10165,Warden Ave At St Clair Ave East,43.711532399999996,-79.28071489999999,10165_IB|9394|10165
10166,Steeles Ave East At Esna Park Dr,43.81712,-79.3359599,10166
