from,to,routes,length,road_length,travel_time
321,1462,34|54|51|334|354|56,0.1559800687481863,0.1561,0.1875
321,5430,56,0.20572230256167465,0.24730000000000002,0.666666666667
321,7417,34|54|51|334|354,0.12461550431044242,0.3989,0.866666666667
322,1933,116,0.20788761821694035,0.21580000000000002,0.1286766998643326
323,2447,334|86|300|21|12|116,0.2182298992831269,0.8455,0.5
323,2463,198,0.8701219622911573,1.5527,2.0
323,4682,20,0.18371263284606246,0.8205,0.0
323,5465,34|334|86|20|300|57|21|12|116,0.15641710345744564,0.15641710345744564,0.241666666667
323,14227,198,0.4403178655107541,0.9512,0.2725446099733797
324,2209,34|54|51|334|354|56,0.2438948304626862,0.2441,0.783333333333
326,331,354|334,0.16000757352092024,0.1601,0.09904027325228074
326,503,34|54|51|334|354|56,0.375625398225587,0.3982,1.40972222222
326,14188,34,0.2902462568310748,0.4928,0.17965442481535346
326,14192,34|54,0.21761058325387186,0.5752999999999999,0.13469494695658144
330,4903,61,0.1891276660242952,0.1891276660242952,1.0
331,326,354|334,0.16000757352092024,0.1601,0.09904027325228074
334,338,332|363,0.28079694041521386,0.2811,0.22620366752369098
336,334,332,0.2762698793454401,0.2766,0.22255676946428798
337,3765,32,0.4721222249789884,0.47550000000000003,0.888888888889
338,340,63|363,0.31311941663529036,0.32689999999999997,2.2
338,4844,109,0.2038686472527478,0.22630000000000003,0.0
338,5268,332|32,0.5118976339845178,0.5122000000000001,1.69230769231
338,14197,32|63,0.29463204980748986,0.44580000000000003,2.0
340,338,332|32|63|363,0.31311941663529036,0.32689999999999997,1.35
340,5003,63|363,0.2511405457289329,0.2511405457289329,0.4
342,3055,332|32,0.5560397853689871,0.5566,1.375
343,2518,71,0.17817262765718786,1.7297,0.5
343,3510,171|89|71,0.23668658417125074,1.3319,0.777777777778
343,9482,332|32,0.3442496445309443,1.4424000000000001,1.0
345,4851,337|110,0.11955451317984478,0.1576,0.07400094503856162
348,5039,116,0.49103441714315255,0.6116,1.0
349,3305,395|95,0.15413863457268046,0.15413863457268046,0.625
350,354,395|95,0.524833194378095,1.0633,0.8
351,7368,133|38,0.3456667179950639,0.3462,0.5
352,353,395|95,0.37559252871673077,0.4144,1.0
352,1772,67,0.21187415537688362,0.21187415537688362,0.75
352,1850,67,0.1986074906051869,0.2293,0.666666666667
352,4465,95,0.8103366755714317,0.8232,1.90909090909
352,5921,395|95,0.2053723305639135,0.20700000000000002,0.3
353,352,395|95,0.37559252871673077,0.4805,1.1
353,2841,395|95|144,0.37149337869463966,0.3916,1.0
353,3238,324|24,0.24080459042168084,0.2662,0.4
353,7892,324|24,0.257598301923841,0.3015,0.857142857143
354,349,395|95,0.47488831346127564,0.4751,0.375
354,2010,395|95,0.1489968006729151,1.6539000000000001,0.2
358,1955,121|75,0.11372248408487817,0.1138,0.866666666667
358,7698,121,0.11239812947856162,0.11359999999999999,1.0
359,5481,315|123|15,0.12148836643380949,0.1228,2.5
362,5407,191,7.434639941900249,8.6562,4.601836995433531
363,595,334,0.35651066171106616,0.4272,0.22067026313975657
363,856,353|199|334|39,0.44961799955841775,0.5119,0.5
363,2532,134,0.07886719480914212,0.1225,0.04881661756789929
363,4728,353,0.3480665256625671,0.3529,0.21544357590727103
364,363,334,0.27124222861471403,0.2745,0.1678914556881681
365,5410,339,0.2096686022029103,0.4465,0.1297790798126501
366,585,52,0.33174349706461803,0.5681,0.6
366,7135,52,0.26242321253091183,0.26639999999999997,1.0
367,5555,52,1.200694810513939,2.0396,2.0
368,367,52,0.10014545957248233,0.3267,0.4
368,9967,52|332|352,0.2224317123706891,0.2224317123706891,0.6
368,14957,52,0.10487183574803796,0.3567,0.06491277281694414
370,3154,73,0.26282878553106803,0.26530000000000004,1.0
370,3737,118,0.23855812143380936,0.291,0.1476608951279806
371,1318,73,0.2058246370152169,0.2071,0.1
371,4245,73,0.5801329271672955,1.9425000000000001,1.0
372,2616,73,0.2434546178740452,0.2557,0.0
372,4793,73,0.35348992036457993,0.4744,0.2
375,266,45,0.3283007485793046,0.3612,0.20320910524883037
377,378,191,0.19632499153215985,0.1965,0.12151975297003421
378,362,191,0.2641281560098511,0.3083,0.16348804102961093
378,9314,112|191,0.2597807228192382,0.2597807228192382,1.0
379,14235,300,0.3160471402898082,0.324,0.25460043167926066
380,1109,142|61,0.410908331707172,0.425,0.666666666667
380,1362,332|32,0.21093418080381546,0.2484,0.8
380,4903,332|32,0.24833570699457072,0.2496,1.0
380,7494,142,1.6674697462850383,2.2885,1.032117765915557
381,2845,142|61,0.20850904933616973,0.2092,0.5
381,5531,142|61,0.17081755539902838,0.171,0.375
382,3068,142|61,0.1897908594697188,0.1899,0.375
382,3197,142|61,0.5184130539440176,0.6175,0.3208833768949812
384,1496,33|14,0.18397231555022944,0.218,1.0
384,3485,307|7,0.20761386228049447,0.22619999999999998,0.2
384,4289,307|7|14,0.31246212999116263,0.31460000000000005,0.8
386,1536,14,0.1707929729130755,0.1879,0.333333333333
386,4324,307|7|14,0.22543442948865647,0.22543442948865647,0.533333333333
386,4934,307|7,0.21687414483725234,0.2189,0.3
388,2166,307|7,0.21432075430932224,0.2144,0.5
388,5735,312,0.4012049677231279,0.9046000000000001,0.24833480540391947
388,6130,307|7,0.3657968064220792,0.36610000000000004,1.4
390,4408,160,0.1124059275602111,0.1125,0.6
394,852,11|124|352,0.34130639586698314,0.4814,1.5
394,6632,11|124|352,0.37185785099213386,2.4712,0.333333333333
395,646,191,2.704483845834319,2.9958000000000005,1.6740008813569662
395,1035,45,0.26921003292345824,0.2711,0.1666335826254423
395,7076,45|191,0.2598388717116458,0.25989999999999996,0.1608330923943488
397,4008,66,0.15654991903273008,0.21509999999999999,0.75
397,4832,66,0.09042717599676764,0.09042717599676764,0.0
398,2822,199,0.8122790852447466,0.8279,1.77777777778
398,3127,339|39,0.33740393753642284,0.3494,0.375
398,3134,199,0.7863337556659087,1.6828,1.75
398,6314,17,0.1921779668526472,0.198,0.375
398,8689,339|39,0.2294087167304498,0.2394,0.3
398,10124,17,0.21201259470164388,0.21201259470164388,0.666666666667
399,1519,69,0.24342406086764828,0.2437,0.5
399,1665,69,0.2790596650441456,0.2790596650441456,0.8
401,1072,17,0.3147093301376895,0.31639999999999996,0.166666666667
401,3318,53|353,0.39727703145336524,0.42810000000000004,1.0
402,3578,161,0.22329714335765402,0.3153,1.2
402,14262,161,0.07710832707718321,0.0854,0.0
403,14217,110|37|50,0.07956503557982986,0.2637,0.06409579402181881
404,654,337,0.084686422908897,0.8269,0.06822146788041324
404,2465,337|110,0.36805015022966053,0.5546,1.0
405,9146,300,0.3641562550354822,0.36760000000000004,0.2933560469672965
409,932,88,0.24499370569143575,0.25910000000000005,1.0
409,3431,56,0.1011797630487247,0.1011797630487247,0.062627481683775
411,2800,504|505|304,0.1296260470660416,0.16240000000000002,0.785714285714
411,6070,87|8|322|100|62,0.2064801487371314,0.2114,1.3
412,9339,142,0.06064566639598429,0.0736,0.03753799422900217
413,807,59,0.25144364583117185,0.273,1.0
413,1178,59,0.20604382909199026,0.21480000000000002,1.0
413,3239,59,0.07499727694607763,0.0751,0.0
416,657,50,0.2659306863449365,0.3242,1.0
416,1215,30,0.380093581732302,0.4104,1.0
416,5854,30,0.2204187824700786,0.2206,0.5
417,1408,134|9,0.26523994761708924,0.2958,0.2
417,4970,9,0.27325775140345376,0.274,1.0
418,1312,70|322,0.22094269848983714,0.2251,1.0
418,6147,62,0.21608159498818613,0.2161,0.833333333333
418,6480,70|322,0.14856739673902314,0.1712,0.5
418,9027,62,0.2116538908396814,0.2116538908396814,1.0
419,4703,70,0.22055580227691435,0.3341,0.181818181818
419,9555,8,0.18900184872819434,0.25780000000000003,1.0
425,1971,20|300,0.27036017059840206,0.2706,1.0
425,2283,20,0.11393143780861459,0.11420000000000001,0.0
426,552,64|306|135|506,0.46785442965581275,0.49060000000000004,1.0
426,4377,20|113|300|23,0.20998163507360004,0.21,0.333333333333
426,14255,64|135|506,0.10202088929637773,0.1998,1.75
427,3643,41|120|341,0.28823773465020935,0.2882,0.675
427,7134,41|341,0.43972941050669184,0.8691000000000001,1.0
428,601,312|512,0.3923753090049782,0.3999,2.72727272727
428,817,312,0.2518643022388069,0.3698,0.15589705391642011
428,819,512,0.311689387360708,0.3482,1.25
428,7302,89,0.22572923546819534,0.3762,0.6
429,600,41|341,0.39514504950950224,0.5177,2.8
429,4740,41|341|89,0.22501498575198361,0.2251,0.4
430,7232,107,0.21982816241478567,0.2667,1.0
431,1160,41|120|341,0.19166435063420376,0.1926,0.733333333333
431,5357,165|119|396|96|118,0.38657760933298935,0.5538,0.755555555556
431,8411,186,0.8123426691712586,0.9812000000000001,0.5028176989302915
433,320,34|334,0.07375583949877192,0.5045000000000001,0.4
433,5488,113,0.18672293024326286,0.18880000000000002,0.0
433,14227,113,0.3702724070445409,0.5892000000000001,0.22918840380187613
434,4802,343|43,0.25601932633748037,0.26130000000000003,1.0
435,437,504|514|304,0.241830972973539,0.2424,1.0
435,2217,504|514|304,0.21301523867453837,0.2174,1.0
435,5704,63|363,0.1417252903817593,0.1662,0.2
435,8626,63,0.23778129228794762,0.2908,1.0
435,14048,363,0.38090847367708464,0.5311,0.2357718355884901
437,435,504|514|304,0.241830972973539,0.2424,1.1
437,2333,504|514|304,0.35320125108844114,0.35320125108844114,0.666666666667
440,3021,45,0.5222344796820798,0.5224,1.0
441,7767,45|46,0.3096544545008574,0.3069,0.5
443,321,56,0.0771403027956773,0.1023,1.0
444,1582,127,0.1987854949293091,0.2225,1.0
444,2192,47,0.2351844873030898,0.2353,14.6666666667
444,4457,47,0.23562976562372617,0.2523,5.5
446,815,47|312,0.2710878108810979,0.4687,3.0
446,3441,312,0.2600260491243909,0.2600260491243909,0.16094895004843982
446,4457,47,0.3340321194060049,0.3614,4.88888888889
446,6136,512,0.31804903140560636,0.5680000000000001,1.90909090909
446,14667,512,0.3952408119516094,0.454,1.6
447,2076,54|354,0.18041447462127555,0.1805,0.8
448,1090,54|354,0.5108051501196312,0.5143,1.0
449,2578,59,0.06587587878740613,0.06609999999999999,0.5
449,2742,52|352,0.4115077646063875,0.4117,0.25
449,8566,59,0.13373821519995394,0.1505,0.0
449,9548,52|352,0.25709154902513753,0.26280000000000003,0.875
451,4884,52|352,0.21270647445837162,0.2127,0.5
452,6123,52|352,0.25461225879712096,0.2548,0.3
452,8638,52|352,0.24030972894950012,0.2405,0.4
453,2143,52|79|352,0.08009789958509331,0.0805,0.587912087912
453,2451,89,0.4068814929607212,0.4073,1.66666666667
453,4011,89,0.17154168479135323,0.17154168479135323,1.625
456,746,83,0.301228264080715,0.4395,2.0
456,9880,83,0.2539997374532799,0.2539997374532799,1.0
457,6911,51,0.18159113137149765,0.1866,0.333333333333
458,7216,54|51,0.2513904442136462,0.2521,0.111111111111
458,7822,162|54,0.19713991326080646,1.1648,0.444444444444
459,456,83,0.14262700983694482,0.1426,1.0
459,4148,31,0.1715186902840701,0.2199,0.10616533692629623
461,380,142,1.6278475679991535,2.3655,1.0075927307691954
461,9121,5,0.1347977662571802,0.16280000000000003,0.0
462,7734,509,0.3602146914314705,0.38539999999999996,0.2229629553390758
463,848,363,0.4477511365563987,0.5642999999999999,0.2771455996598001
463,3806,329,0.32078472765334104,0.3215,0.19855689566963838
463,7734,307|511,0.40706468906619225,0.4402,0.25196181124013656
463,10415,329|29,0.4501879238180826,0.5569,0.2786539037415647
465,1676,85|86,0.4152960080663267,0.4631,0.2570567705915039
468,2076,38,0.2692765988567919,0.26780000000000004,0.2
468,7290,54|354,0.30233573034744804,0.30233573034744804,1.0
468,8121,85,0.27629852580020153,0.33580000000000004,1.0
477,1073,501|301,0.494110774530142,0.4912,0.3058409364601925
477,15260,315|110|123,0.17316147227755957,0.17316147227755957,0.0
481,4321,501|301,0.15658383132719317,0.1951,0.09692107129858223
485,583,52,0.27228716177890033,0.27228716177890033,1.0
486,3588,62,0.24472675451309076,0.2449,0.666666666667
487,8374,134,0.21360369364862872,0.2161,0.428571428571
491,3131,63|363,0.19696184239819445,0.2595,1.33333333333
491,5250,501|301,0.28790245849837015,0.2903,1.66666666667
491,5704,63|363,0.22308167484347047,0.26160000000000005,0.3
491,9071,501|301,0.18173135869109017,0.1981,1.8
492,3291,94,0.19544674931344883,0.2191,1.0
493,3852,5,0.3177518070029696,0.3526,0.0
494,9666,5,0.28086982317858217,0.46280000000000004,1.0
495,6734,5,0.21214930593131648,0.21530000000000002,0.13131456697561977
496,2710,76,0.1607790004551803,0.1607790004551803,0.0
497,2605,501|80,0.18695372618515352,0.3431,0.555555555556
497,7392,80,0.2126793895316912,0.21280000000000002,0.333333333333
498,1227,501,1.1238711096159681,2.3742,0.6956452082073251
498,3655,80,0.2722445347642003,0.68,0.5
498,8807,66,0.37171668756472165,0.8412000000000001,0.23008237359483064
498,10266,501,0.09278801612352792,0.4972,0.2
498,14950,77|66|80,0.21311474010600867,0.2172,0.933333333333
500,1113,48|46,0.25470369932968473,0.25470369932968473,0.75
500,4756,46,0.2898869930428484,0.30260000000000004,0.0
501,507,141,0.17558309793285662,0.1791,0.1414457744762223
503,324,34|54|51|334|354|56,0.28124716520122334,0.30260000000000004,1.275
503,9633,34|54|51|334|354|56,0.2034878131993826,0.2261,1.0
505,1776,141,0.21929831632330016,0.2551,0.1766617661885795
507,503,141,0.11483774983631935,0.1192,0.09251069525448481
510,2201,112,0.19298826747181622,0.21459999999999999,0.125
510,15475,112,0.5704724329084777,2.4468,0.5
511,510,112,0.07108155683835121,0.19690000000000002,0.2
514,9339,145|141|144|143,0.15589487160416252,0.1562,1.0
515,514,143|144,0.3626453282440939,0.3755,0.22446745246256852
520,6144,161|168,0.19301234166126283,0.2211,0.25
520,6334,41|341,0.306970451455965,0.307,0.5
520,10137,161|41|168|341,0.17104730937770604,0.184,0.666666666667
522,1938,52,0.28663128894919576,1.244,0.5
522,3695,73,0.15873461681848472,1.2457,0.2
522,4913,52,0.27586102031715554,0.2771,0.1
522,9341,73,0.4287367900251269,0.7833,1.0
523,6094,73,0.32315729239863106,0.3247,0.0
