neighborhood,lat,lon,population,area,density
101,43.69391567,-79.41231462,10732,2.5,4292.8
102,43.70410055,-79.42779565,12806,1.6,8003.75
103,43.71537736,-79.41089425,15179,3.2,4743.4375
104,43.70476528,-79.39335317,29658,1.3,22813.84615
105,43.72962009,-79.40352768,14607,2.3,6350.869565
106,43.69103714,-79.42773949,14365,1.9,7560.526316
107,43.68867577,-79.43959382,21210,2.2,9640.909091
108,43.69908849,-79.45329706,14257,1.8,7920.555556
109,43.68864552,-79.4551092,9955,1.5,6636.666667
110,43.685799,-79.4729467,11058,1.7,6504.705882
111,43.67400645,-79.49529469,22246,5.1,4361.960784
112,43.69353857,-79.48020034,6577,1.8,3653.888889
113,43.70197756,-79.51523768,17992,2.6,6920
114,43.65674995,-79.49406524,7985,1.7,4697.058824
115,43.68843876,-79.50070796,13593,2.1,6472.857143
116,43.81257421,-79.32106977,24623,4.6,5352.826087
117,43.79283137,-79.31418576,43993,7.1,6196.197183
118,43.78217375,-79.3032758,27446,5.5,4990.181818
119,43.74865922,-79.29866898,27917,10.2,2736.960784
120,43.7125967,-79.27776166,26984,7.4,3646.486486
121,43.70069282,-79.27926613,13845,1.8,7691.666667
122,43.69491713,-79.26342843,22291,6,3715.166667
123,43.72089577,-79.23656617,15935,7.1,2244.366197
124,43.72533023,-79.2611229,17123,3.6,4756.388889
125,43.73413788,-79.27135473,13641,2,6820.5
126,43.75817697,-79.27836912,25003,6,4167.166667
127,43.76138098,-79.25808149,29960,7.4,4048.648649
128,43.78939196,-79.25286568,23757,7.9,3007.21519
129,43.80395904,-79.26460274,29113,7.3,3988.082192
130,43.81887248,-79.28359334,26572,9.4,2826.808511
131,43.81472,-79.18038959,46496,37.6,1236.595745
132,43.80278326,-79.22117977,43794,8.9,4920.674157
133,43.78274896,-79.15476955,13362,5.4,2474.444444
134,43.78941468,-79.17776496,12494,5.1,2449.803922
135,43.78003852,-79.20353416,17455,5.6,3116.964286
136,43.76754123,-79.17331537,27392,9.6,2853.333333
137,43.76514512,-79.22747425,53485,12.2,4384.016393
138,43.74200052,-79.24043476,22776,3.2,7117.5
139,43.7389566,-79.21791719,16724,3.1,5394.83871
140,43.74700444,-79.1990952,9917,3.8,2609.736842
