from,to,routes,straight-distance,road-distance
4095,1836,10,0.21202828736123852,0
4138,4400,6,0.13508474440019566,0
4158,1330,12,0.2882811422967624,0
4158,4586,12,0.39368265459251983,0
4165,1642,6,0.20189081147082535,0
4166,14936,6,0.2136272625152706,0
4174,9926,9,0.20329838848473583,0
4180,1408,9,0.18827118218237648,0
4194,8550,12,0.25576955448361793,0
4199,5125,8,0.16395334317519447,0
4206,3981,10,0.13008140621196307,0
4216,2035,7,0.15551569000935608,0
4266,4452,15,0.23624998893462326,0
4289,384,7,0.31133155205010427,0
4289,5624,14,0.33350905697295874,0
4298,2947,7,0.23674755003611594,0
4324,386,7,0.21002722930795012,0
4324,5117,14,0.2316581246766248,0
4374,6869,15,0.32045548524947504,0
4400,6347,6,0.23862584678234153,0
4405,6241,12,0.2809755960135463,0
4411,14894,6,0.21362184161750297,0
4420,10274,5,0.18586011279999548,0
4434,10214,10,0.42311370467067233,0
4437,3450,6,0.18656272972910296,0
4452,5184,15,0.2312764236935505,0
4483,5285,11,0.22625600432567292,0
4496,3942,7,0.29798028559571504,0
4525,8532,14,0.4090152089345781,0
4530,2390,7,0.2081840398885182,0
4558,5626,9,0.38246255620376696,0
4563,9393,9,0.26139105700296905,0
4578,4970,9,0.22789907378647464,0
4586,10330,12,0.19044208461955858,0
4588,543,15,0.15691374987164192,0
4601,4716,15,0.16482204753710286,0
4610,5739,7,0.20455707130798378,0
4616,6917,12,0.45444549868491485,0
4639,8588,10,0.13874224281270703,0
4657,3463,11,0.309590415562413,0
4677,5434,11,0.25114507771639405,0
4688,9470,9,0.30964819072968863,0
4709,4199,8,0.2548872197732815,0
4716,7537,15,0.32643956860003415,0
4720,8516,12,0.17586615444464967,0
4764,7640,14,0.10047251337323462,0
4768,5248,9,0.3221265402626694,0
4771,6168,12,0.27819472505046416,0
4792,8154,15,0.13071482415535093,0
4813,9758,7,0.2757858405351165,0
4819,5249,12,0.17152669322516284,0
4822,3753,15,0.22512739912127813,0
4854,3248,5,0.19540797237335975,0
4858,6550,7,0.3715883012906678,0
4872,7686,12,0.21489076143303584,0
4886,10236,5,0.31966814509066854,0
4888,3157,5,0.19888386467868413,0
4889,6297,7,0.3109449481410457,0
4932,4216,7,0.22042757156262027,0
4934,7973,7,0.204284795094344,0
4940,7731,14,0.24933489386161187,0
4956,1867,9,0.3147354037465969,0
4960,1245,9,0.3118764653748267,0
4970,3969,9,0.22682986881862752,0
4979,2479,6,0.16835741124843875,0
4995,3264,11,0.2224765772495218,0
5037,6993,7,0.33129420975200946,0
5046,8352,5,0.19730014597889592,0
5052,8038,9,0.1261713172077433,0
5077,4979,6,0.16247346380636185,0
5092,10314,6,0.24283621083065948,0
5096,2968,11,0.38455473210822283,0
5105,14305,12,0.14344219359683752,0
5117,7538,14,0.12035454818450607,0
5125,1414,8,0.27951928854679053,0
5167,3715,8,0.20568418008078307,0
5177,4995,11,0.2164519050819753,0
5184,8740,15,0.21286370567164936,0
5198,2341,7,0.32305175309103434,0
5223,9476,14,0.41701750114627356,0
5248,8720,9,0.15379678730220675,0
5249,4616,12,0.2854146782581699,0
5251,14160,8,0.20502988926862506,0
5258,7896,11,0.19336830613842484,0
5285,8600,11,0.2661943706628642,0
5309,2597,9,0.33151633103251427,0
5336,7133,12,0.1529329618258898,0
5366,1507,11,0.16551615919917448,0
5400,5475,7,0.35273384282995157,0
5413,9546,14,0.14291817502734955,0
5434,7447,11,0.14879964308287352,0
5465,9949,12,0.4215572487916435,0
5475,1857,7,0.22471194246954695,0
5481,7435,15,0.12922339709842195,0
5486,2612,8,0.15351976052198227,0
5490,3801,12,0.334722395990934,0
5512,9543,11,0.19315650287614383,0
5518,8455,8,0.20368437108784285,0
5523,9795,7,0.20473063302225478,0
5524,7941,9,0.30296758565898424,0
5532,2522,12,0.172762873377816,0
5538,7605,7,0.19399730021411235,0
5542,5956,6,0.3756825957148141,0
