tag,api,stops_count,wait_time_mean,wait_time_std
115,ttc,50,29.6428571429,1.04246567995
116,ttc,150,7.10685483871,2.66372612747
118,ttc,86,30.5675675676,1.80899465197
120,ttc,83,29.9302325581,0.333783723126
121,ttc,45,13.2715231788,2.63178174691
122,ttc,79,29.4473684211,1.19642820228
123,ttc,88,19.45,1.5015468215
124,ttc,28,19.8947368421,0.306892204992
125,ttc,31,14.9782608696,0.207378087265
126,ttc,28,30.0740740741,0.261891400439
127,ttc,53,20.7244897959,4.11513040001
129,ttc,102,16.306122449,11.7927755152
130,ttc,63,29.7592592593,0.921656825047
131,ttc,86,24.4571428571,1.00502140634
132,ttc,71,29.5416666667,0.575844790045
133,ttc,91,10.6933333333,3.61191854221
134,ttc,101,14.6850828729,0.739754042136
135,ttc,46,32.1578947368,0.430808040625
160,ttc,86,35.7755102041,0.417245883679
161,ttc,81,13.1603053435,7.10801804425
162,ttc,74,29.6282051282,1.54512446067
165,ttc,200,15.1446540881,10.1891460798
168,ttc,42,8.05487804878,0.945161289504
169,ttc,114,29.0603448276,5.09612562961
171,ttc,23,19.8043478261,0.39670190415
185,ttc,37,8.89189189189,2.16899258947
190,ttc,18,9.06944444444,1.07142673427
191,ttc,75,9.19791666667,1.87982596528
192,ttc,8,5.5,2.33184476327
195,ttc,36,9.625,2.62169103612
196,ttc,25,14.5970149254,1.60279328462
198,ttc,27,10.5462962963,1.02183802496
199,ttc,79,7.15833333333,1.70291824688
501,ttc,209,5.96137931034,4.30443534215
504,ttc,102,4.7896039604,3.09947150423
505,ttc,90,5.54166666667,2.04081614938
506,ttc,122,7.46926229508,3.11577784621
509,ttc,25,6.0,1.91833260933
510,ttc,37,8.25714285714,1.16110433007
511,ttc,35,3.98484848485,1.64217542563
512,ttc,55,5.68518518519,3.3970252459
514,ttc,56,14.2784090909,2.30779060337
